ID,vaccine_code,Year,Dominance,Dom2,,,,,,,,,,
BI/15793/1968,HK/1/1968,1968,0,0,,,,,,,,,,
BI/16190/1968,HK/1/1968,1968,0,0,,,,,,,,,,
BI/16398/1968,HK/1/1968,1968,0,0,,,,,,,,,,
BI/808/1969,HK/1/1968,1969,0,0,,,,,,,,,,
BI/908/1969,HK/1/1968,1969,0,0,,,,,,,,,,
BI/17938/1969,HK/1/1968,1969,0,0,,,,,,,,,,
BI/93/1970,HK/1/1968,1970,0,0,,,,,,,,,,
BI/2668/1970,HK/1/1968,1970,0,0,,,,,,,,,,
BI/6449/1971,HK/1/1968,1971,0,0,,,,,,,,,,
BI/21438/1971,HK/1/1968,1971,0,0,,,,,,,,,,
BI/21801/1971,HK/1/1968,1971,0,0,,,,,,,,,,
HK/107/1971,HK/1/1968,1971,0,0,,,,,,,,,,
BI/6022/1972,HK/1/1968,1972,0,0,,,,,,,,,,
BI/21793/1972,HK/1/1968,1972,1,1,,,,,,,,,,
BI/23290/1972,HK/1/1968,1972,1,1,,,,,,,,,,
BI/23337/1972,HK/1/1968,1972,1,1,,,,,,,,,,
EN/42/1972,HK/1/1968,1972,0,0,,,,,,,,,,
BI/552/1973,EN/42/1972,1973,0,0,,,,,,,,,,
BI/748/1973,EN/42/1972,1973,0,0,,,,,,,,,,
BI/3517/1973,EN/42/1972,1973,0,0,,,,,,,,,,
PC/1/1973,EN/42/1972,1973,1,0,,,,,,,,,,
BI/5146/1974,EN/42/1972,1974,1,1,,,,,,,,,,
BI/5930/1974,EN/42/1972,1974,1,0,,,,,,,,,,
BI/5931/1974,EN/42/1972,1974,1,0,,,,,,,,,,
BI/7398/1974,EN/42/1972,1974,1,1,,,,,,,,,,
BI/9459/1974,EN/42/1972,1974,1,1,,,,,,,,,,
BI/2600/1975,PC/1/1973,1975,0,0,,,,,,,,,,
BI/2813/1975,PC/1/1973,1975,0,0,,,,,,,,,,
VI/3/1975,PC/1/1973,1975,1,1,,,,,,,,,,
BI/628/1976,PC/1/1973,1976,1,1,,,,,,,,,,
BI/1761/1976,PC/1/1973,1976,1,0,,,,,,,,,,
BI/2271/1976,PC/1/1973,1976,1,0,,,,,,,,,,
BI/5029/1976,PC/1/1973,1976,1,0,,,,,,,,,,
BI/5657/1976,PC/1/1973,1976,1,0,,,,,,,,,,
BI/6545/1976,PC/1/1973,1976,1,1,,,,,,,,,,
AM/1609/1977,VI/3/1975,1977,0,0,,,,,,,,,,
BI/3895/1977,VI/3/1975,1977,0,0,,,,,,,,,,
RD/5828/1977,VI/3/1975,1977,0,0,,,,,,,,,,
RD/8179/1977,VI/3/1975,1977,0,0,,,,,,,,,,
TE/1/1977,VI/3/1975,1977,0,1,,,,,,,,,,
DH/33/1980,TE/1/1977,1980,0,0,,,,,,,,,,
NL/209/1980,TE/1/1977,1980,0,0,,,,,,,,,,
RD/577/1980,TE/1/1977,1980,0,0,,,,,,,,,,
BI/4791/1981,TE/1/1977,1981,0,0,,,,,,,,,,
BI/10684/1982,TE/1/1977,1982,0,0,,,,,,,,,,
NL/233/1982,TE/1/1977,1982,0,0,,,,,,,,,,
NL/241/1982,TE/1/1977,1982,0,0,,,,,,,,,,
PH/2/1982,TE/1/1977,1982,0,1,,,,,,,,,,
OS/13676/1983,TE/1/1977,1983,0,0,,,,,,,,,,
CE/1/1984,PH/2/1982,1984,0,0,,,,,,,,,,
GF/V728/1985,PH/2/1982,1985,0,1,,,,,,,,,,
NL/330/1985,PH/2/1982,1985,0,0,,,,,,,,,,
ST/10/1985,PH/2/1982,1985,1,0,,,,,,,,,,
WE/4/1985,PH/2/1982,1985,0,0,,,,,,,,,,
CO/2/1986,PH/2/1982,1986,0,0,,,,,,,,,,
LE/360/1986,PH/2/1982,1986,1,1,,,,,,,,,,
SH/11/1987,PH/2/1982,1987,1,0,,,,,,,,,,
SI/2/1987,PH/2/1982,1987,1,1,,,,,,,,,,
VI/7/1987,PH/2/1982,1987,1,0,,,,,,,,,,
CC/2/1988,LE/360/1986,1988,0,0,,,,,,,,,,
EN/427/1988,LE/360/1986,1988,0,0,,,,,,,,,,
NL/450/1988,LE/360/1986,1988,0,0,,,,,,,,,,
ST/12/1988,LE/360/1986,1988,1,1,,,,,,,,,,
AT/211/1989,SI/2/1987,1989,1,1,,,,,,,,,,
BE/352/1989,SI/2/1987,1989,1,0,,,,,,,,,,
BE/353/1989,SI/2/1987,1989,1,1,,,,,,,,,,
GE/5007/1989,SI/2/1987,1989,1,1,,,,,,,,,,
GU/54/1989,SI/2/1987,1989,1,0,,,,,,,,,,
HK/1/1989,SI/2/1987,1989,1,0,,,,,,,,,,
NL/620/1989,SI/2/1987,1989,1,1,,,,,,,,,,
NL/650/1989,SI/2/1987,1989,1,0,,,,,,,,,,
NL/738/1989,SI/2/1987,1989,1,0,,,,,,,,,,
SP/34/1989,SI/2/1987,1989,1,0,,,,,,,,,,
SP/35/1989,SI/2/1987,1989,1,0,,,,,,,,,,
SP/36/1989,SI/2/1987,1989,1,0,,,,,,,,,,
SP/40/1989,SI/2/1987,1989,1,0,,,,,,,,,,
SP/53/1989,SI/2/1987,1989,1,0,,,,,,,,,,
VI/1/1989,SI/2/1987,1989,0,0,,,,,,,,,,
WE/5/1989,SI/2/1987,1989,1,0,,,,,,,,,,
ME/2/1990,SH/11/1987,1990,0,0,,,,,,,,,,
ME/5/1990,SH/11/1987,1990,0,0,,,,,,,,,,
SH/24/1990,SH/11/1987,1990,0,1,,,,,,,,,,
SU/1/1990,SH/11/1987,1990,0,0,,,,,,,,,,
VI/2/1990,SH/11/1987,1990,1,1,,,,,,,,,,
CA/1/1991,GU/54/1989,1991,1,0,,,,,,,,,,
EN/260/1991,GU/54/1989,1991,1,1,,,,,,,,,,
EN/261/1991,GU/54/1989,1991,1,1,,,,,,,,,,
GE/6447/1991,GU/54/1989,1991,1,1,,,,,,,,,,
LY/1149/1991,GU/54/1989,1991,1,0,,,,,,,,,,
LY/1182/1991,GU/54/1989,1991,1,0,,,,,,,,,,
LY/1189/1991,GU/54/1989,1991,1,0,,,,,,,,,,
LY/1276/1991,GU/54/1989,1991,1,0,,,,,,,,,,
LY/1337/1991,GU/54/1989,1991,1,1,,,,,,,,,,
LY/1373/1991,GU/54/1989,1991,1,0,,,,,,,,,,
LY/1594/1991,GU/54/1989,1991,1,1,,,,,,,,,,
LY/23672/1991,GU/54/1989,1991,1,0,,,,,,,,,,
LY/24103/1991,GU/54/1989,1991,1,0,,,,,,,,,,
LY/24222/1991,GU/54/1989,1991,1,1,,,,,,,,,,
MA/G12/1991,GU/54/1989,1991,1,0,,,,,,,,,,
NL/816/1991,GU/54/1989,1991,1,1,,,,,,,,,,
ST/20/1991,GU/54/1989,1991,1,1,,,,,,,,,,
AM/4112/1992,BE/353/1989,1992,0,0,,,,,,,,,,
BE/32/1992,BE/353/1989,1992,0,0,,,,,,,,,,
ES/1285/1992,BE/353/1989,1992,0,0,,,,,,,,,,
FI/218/1992,BE/353/1989,1992,0,0,,,,,,,,,,
FI/220/1992,BE/353/1989,1992,0,0,,,,,,,,,,
FI/247/1992,BE/353/1989,1992,0,0,,,,,,,,,,
GE/5113/1992,BE/353/1989,1992,0,0,,,,,,,,,,
HO/56798/1992,BE/353/1989,1992,0,0,,,,,,,,,,
HO/56829/1992,BE/353/1989,1992,0,0,,,,,,,,,,
HO/56941/1992,BE/353/1989,1992,0,0,,,,,,,,,,
MA/G58/1992,BE/353/1989,1992,0,0,,,,,,,,,,
NI/3126/1992,BE/353/1989,1992,0,0,,,,,,,,,,
NI/3129/1992,BE/353/1989,1992,0,0,,,,,,,,,,
NL/819/1992,BE/353/1989,1992,0,0,,,,,,,,,,
NL/823/1992,BE/353/1989,1992,0,0,,,,,,,,,,
NL/935/1992,BE/353/1989,1992,0,0,,,,,,,,,,
NL/938/1992,BE/353/1989,1992,0,0,,,,,,,,,,
OV/31/1992,BE/353/1989,1992,0,0,,,,,,,,,,
PA/320/1992,BE/353/1989,1992,0,0,,,,,,,,,,
PA/325/1992,BE/353/1989,1992,0,0,,,,,,,,,,
PA/407/1992,BE/353/1989,1992,0,0,,,,,,,,,,
PA/417/1992,BE/353/1989,1992,0,0,,,,,,,,,,
PA/424/1992,BE/353/1989,1992,0,0,,,,,,,,,,
PA/457/1992,BE/353/1989,1992,0,0,,,,,,,,,,
PA/467/1992,BE/353/1989,1992,0,0,,,,,,,,,,
PA/490/1992,BE/353/1989,1992,0,0,,,,,,,,,,
PA/512/1992,BE/353/1989,1992,0,0,,,,,,,,,,
PA/548/1992,BE/353/1989,1992,0,0,,,,,,,,,,
PA/564/1992,BE/353/1989,1992,0,0,,,,,,,,,,
PA/583/1992,BE/353/1989,1992,0,0,,,,,,,,,,
PA/597/1992,BE/353/1989,1992,0,0,,,,,,,,,,
PA/614/1992,BE/353/1989,1992,0,0,,,,,,,,,,
RD/100540/1992,BE/353/1989,1992,0,0,,,,,,,,,,
SA/8/1992,BE/353/1989,1992,0,0,,,,,,,,,,
SA/23/1992,BE/353/1989,1992,0,0,,,,,,,,,,
SA/27/1992,BE/353/1989,1992,0,0,,,,,,,,,,
SE/C273/1992,BE/353/1989,1992,0,0,,,,,,,,,,
ST/7/1992,BE/353/1989,1992,0,0,,,,,,,,,,
ST/8/1992,BE/353/1989,1992,0,0,,,,,,,,,,
ST/12/1992,BE/353/1989,1992,0,0,,,,,,,,,,
ST/13/1992,BE/353/1989,1992,0,0,,,,,,,,,,
TI/5957/1992,BE/353/1989,1992,0,0,,,,,,,,,,
UM/1982/1992,BE/353/1989,1992,0,0,,,,,,,,,,
UM/2000/1992,BE/353/1989,1992,0,0,,,,,,,,,,
VI/68/1992,BE/353/1989,1992,0,0,,,,,,,,,,
AK/4/1993,BE/353/1989,1993,0,0,,,,,,,,,,
ES/5458/1993,BE/353/1989,1993,0,0,,,,,,,,,,
GD/25/1993,BE/353/1989,1993,1,0,,,,,,,,,,
LY/672/1993,BE/353/1989,1993,0,0,,,,,,,,,,
LY/1803/1993,BE/353/1989,1993,0,0,,,,,,,,,,
LY/1815/1993,BE/353/1989,1993,1,0,,,,,,,,,,
LY/22686/1993,BE/353/1989,1993,1,0,,,,,,,,,,
LY/23602/1993,BE/353/1989,1993,1,0,,,,,,,,,,
MA/G101/1993,BE/353/1989,1993,1,0,,,,,,,,,,
MA/G102/1993,BE/353/1989,1993,0,0,,,,,,,,,,
MA/G109/1993,BE/353/1989,1993,0,1,,,,,,,,,,
MA/G116/1993,BE/353/1989,1993,0,0,,,,,,,,,,
MA/G122/1993,BE/353/1989,1993,1,0,,,,,,,,,,
