compareStrain,vaccineStrain,vaccine_code,Year,Month,Day,Dom
EPI103320_A_Moscow_10_1999,EPI103320_A_Moscow_10_1999,Mos99,1999,7,1,0
CY003287_A_New_York_438_2000,EPI103320_A_Moscow_10_1999,Mos99,2000,1,18,0
CY114324_A_Netherlands_3_2000,EPI103320_A_Moscow_10_1999,Mos99,2000,1,6,0
CY114340_A_Netherlands_126_2001,EPI103320_A_Moscow_10_1999,Mos99,2001,3,21,0
CY002335_A_New_York_77_2001,EPI103320_A_Moscow_10_1999,Mos99,2001,12,26,0
CY000216_A_New_York_91_2002,EPI103320_A_Moscow_10_1999,Mos99,2002,1,17,0
CY112948_A_Netherlands_1_2002,EPI103320_A_Moscow_10_1999,Mos99,2002,1,7,0
CY000552_A_New_York_115_2002,EPI103320_A_Moscow_10_1999,Mos99,2002,2,7,0
CY013812_A_New_York_C4_2002,EPI103320_A_Moscow_10_1999,Mos99,2002,2,1,0
EPI358781_A_Fujian_411_2002,EPI103320_A_Moscow_10_1999,Mos99,2002,7,1,0
CY000872_A_New_York_193_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,2,19,0
CY032968_A_Yucatan_844_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,3,19,0
CY001559_A_New_York_215_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,4,22,0
KJ855376_A_Mexico_DIF835_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,7,4,0
CY088027_A_England_425_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,10,29,0
CY000352_A_New_York_15_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,12,0
CY000908_A_New_York_13_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,12,0
CY002351_A_New_York_272_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,28,0
CY088035_A_England_438_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,12,0
CY088115_A_England_467_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,6,0
CY088131_A_Scotland_78_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,7,0
CY088139_A_Scotland_79_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,8,0
CY088187_A_England_944_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,17,0
CY088251_A_England_525_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,27,0
CY088267_A_England_585_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,25,0
CY088275_A_England_487_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,24,0
CY088291_A_England_491_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,24,0
CY088323_A_England_508_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,27,0
CY088339_A_England_957_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,28,0
CY088379_A_England_532_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,27,0
CY090956_A_South_Carolina_NHRC0002_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,13,0
CY107095_A_England_470_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,5,0
CY107111_A_England_516_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,20,0
CY107151_A_England_493_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,23,0
CY107167_A_England_532_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,11,27,0
CY000024_A_New_York_30_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,12,2,0
CY000056_A_New_York_35_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,12,4,0
CY000104_A_New_York_54_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,12,10,0
CY000144_A_New_York_26_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,12,2,0
CY000272_A_New_York_53_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,12,11,0
CY000512_A_New_York_4_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,12,8,0
CY001095_A_New_York_24_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,12,1,0
CY001196_A_New_York_18_2003,EPI103320_A_Moscow_10_1999,Mos99,2003,12,1,0
