"","GenePair","DisMean","DisMedian","lowerCrIn","UpperCrIn","lower","upper","n"
"1","HA-M",17.7279748,17.5165,16.586,19.2731,17.6865367201485,17.7694128798515,2500
"2","HA-NA",17.7971584,17.682,16.4049,19.4051,17.7532146194139,17.8411021805861,2500
"3","HA-NP",17.2787528,17.0955,16.04195,19.0373,17.2371281980388,17.3203774019612,2500
"4","HA-NS",17.8530332,17.705,16.3889,19.76605,17.8072505844228,17.8988158155772,2500
"5","HA-PA",16.9324232,16.811,15.87795,17.96315,16.8954897032068,16.9693566967932,2500
"6","HA-PB1",16.7212956,16.5925,15.7279,17.7831,16.6845330647487,16.7580581352513,2500
"7","HA-PB2",17.4735808,17.3425,16.3516,18.8032,17.4347287451903,17.5124328548097,2500
"8","NA-M",19.0676788,19.006,17.616,20.7503,19.030323106811,19.105034493189,2500
"9","NA-NS",19.1573996,19.0875,17.54295,21.0632,19.1152919824427,19.1995072175573,2500
"10","NP-M",16.711506,16.643,15.4954,18.22305,16.6785958344384,16.7444161655616,2500
"11","NP-NA",18.671168,18.565,17.1537,20.55715,18.6300795316815,18.7122564683185,2500
"12","NP-NS",15.7327812,15.657,14.61555,17.1213,15.70342403904,15.76213836096,2500
"13","NS-M",16.9630948,16.895,15.61295,18.5221,16.9282171424316,16.9979724575684,2500
"14","PA-M",18.3120396,18.229,17.2362,19.74005,18.2826337125364,18.3414454874636,2500
"15","PA-NA",16.0728412,16.074,15.03985,17.15455,16.0472836846303,16.0983987153697,2500
"16","PA-NP",17.5584104,17.4585,16.35495,19.17105,17.5246561123871,17.5921646876129,2500
"17","PA-NS",18.0652764,17.9745,16.84095,19.6193,18.032061786,18.098491014,2500
"18","PB1-M",16.6056788,16.5605,15.59495,17.80405,16.5797435734536,16.6316140265464,2500
"19","PB1-NA",18.286756,18.249,17.06295,19.63325,18.2554566983383,18.3180553016617,2500
"20","PB1-NP",15.0189032,14.956,14.02685,16.20805,14.9928900380478,15.0449163619522,2500
"21","PB1-NS",16.3561908,16.3325,15.37795,17.4101,16.3311377978671,16.3812438021329,2500
"22","PB1-PA",16.9953116,16.992,16.1017,17.8893,16.9742434417876,17.0163797582125,2500
"23","PB2-M",19.2990176,19.187,18.0906,20.82145,19.2657538953884,19.3322813046116,2500
"24","PB2-NA",18.8350724,18.769,17.4229,20.4701,18.7984757670502,18.8716690329498,2500
"25","PB2-NP",17.6740488,17.5665,16.3389,19.4369,17.6369888927272,17.7111087072728,2500
"26","PB2-NS",18.7577096,18.6555,17.3959,20.52205,18.7198766588035,18.7955425411965,2500
"27","PB2-PA",17.3739736,17.297,16.29875,18.666,17.3458588372519,17.4020883627481,2500
"28","PB2-PB1",16.8169376,16.744,15.74895,18.1101,16.7887354912973,16.8451397087027,2500
