"","row","col","value"
"1",1,1,0
"2",2,1,4.08335031512311
"3",3,1,4.64768537707354
"4",4,1,4.44808877711064
"5",5,1,5.33042243223947
"6",6,1,4.48760397989437
"7",7,1,4.49186460869933
"8",8,1,5.35602819471506
"9",9,1,6.75281913143876
"10",10,1,4.84850901947501
"11",11,1,9.48650771370603
"12",12,1,11.9151354480349
"13",13,1,10.5273394100179
"14",14,1,13.1468524831997
"15",15,1,8.73278692699892
"16",16,1,13.4035841604321
"17",17,1,12.1337709122879
"18",18,1,7.65297751837603
"19",19,1,15.5773826699899
"20",20,1,15.9667084339664
"21",1,2,4.08335031512311
"22",2,2,0
"23",3,2,3.59631694254161
"24",4,2,4.0329273631115
"25",5,2,5.28180065685888
"26",6,2,3.77389196636335
"27",7,2,3.72250858749507
"28",8,2,5.3238886244852
"29",9,2,7.49266151305294
"30",10,2,4.85596324988
"31",11,2,8.30524125897903
"32",12,2,10.5017364317612
"33",13,2,10.2335252337869
"34",14,2,12.3398101366044
"35",15,2,8.01958359649869
"36",16,2,13.0254388149815
"37",17,2,11.3418864469754
"38",18,2,7.33107471730267
"39",19,2,15.3635100768088
"40",20,2,14.6379771254985
"41",1,3,4.64768537707354
"42",2,3,3.59631694254161
"43",3,3,0
"44",4,3,4.69707577158259
"45",5,3,4.87484392456113
"46",6,3,3.99516612778609
"47",7,3,4.52575910740284
"48",8,3,5.61871625242228
"49",9,3,7.16418943035548
"50",10,3,4.52126211196684
"51",11,3,7.82774967657701
"52",12,3,9.82778178999468
"53",13,3,9.70681873709636
"54",14,3,11.8590866683997
"55",15,3,7.82269416630725
"56",16,3,12.5519377849859
"57",17,3,11.2411942232626
"58",18,3,7.5098693772513
"59",19,3,15.0911781795384
"60",20,3,14.0226905746319
"61",1,4,4.44808877711064
"62",2,4,4.0329273631115
"63",3,4,4.69707577158259
"64",4,4,0
"65",5,4,4.89256204602529
"66",6,4,4.8174038208124
"67",7,4,3.8887206014718
"68",8,4,6.57762323007814
"69",9,4,7.40258221725215
"70",10,4,4.85619058335044
"71",11,4,8.99244838962661
"72",12,4,11.3365226369164
"73",13,4,9.8959208035426
"74",14,4,12.705599343976
"75",15,4,8.38994553191533
"76",16,4,13.2318327958177
"77",17,4,12.021522110833
"78",18,4,7.84204653750765
"79",19,4,15.1994368956374
"80",20,4,15.6902063277156
"81",1,5,5.33042243223947
"82",2,5,5.28180065685888
"83",3,5,4.87484392456113
"84",4,5,4.89256204602529
"85",5,5,0
"86",6,5,5.17494699719128
"87",7,5,4.90527750669552
"88",8,5,6.90233647581624
"89",9,5,7.18240123195028
"90",10,5,5.03017722661948
"91",11,5,9.88135539108962
"92",12,5,11.6869009841218
"93",13,5,11.0460449796609
"94",14,5,13.6673072129054
"95",15,5,9.19680999830177
"96",16,5,14.2187250573181
"97",17,5,13.0529613536999
"98",18,5,8.90621010011891
"99",19,5,16.3901897694439
"100",20,5,15.6783101872531
"101",1,6,4.48760397989437
"102",2,6,3.77389196636335
"103",3,6,3.99516612778609
"104",4,6,4.8174038208124
"105",5,6,5.17494699719128
"106",6,6,0
"107",7,6,4.67224398196325
"108",8,6,5.42253598802054
"109",9,6,6.64656274742813
"110",10,6,4.57513828128092
"111",11,6,8.86574839642756
"112",12,6,11.0871207712784
"113",13,6,10.6301945904465
"114",14,6,12.9885988650123
"115",15,6,8.88033456040866
"116",16,6,13.6504810853999
"117",17,6,12.1794824941534
"118",18,6,8.14335895577929
"119",19,6,15.9288100391717
"120",20,6,14.9115295849585
"121",1,7,4.49186460869933
"122",2,7,3.72250858749507
"123",3,7,4.52575910740284
"124",4,7,3.8887206014718
"125",5,7,4.90527750669552
"126",6,7,4.67224398196325
"127",7,7,0
"128",8,7,5.56630224567312
"129",9,7,8.2335851748381
"130",10,7,4.82422317383317
"131",11,7,8.66447108974174
"132",12,7,10.5179476096763
"133",13,7,10.0450381457036
"134",14,7,12.4037010067481
"135",15,7,7.98335193353518
"136",16,7,13.0581354622801
"137",17,7,11.5725091955278
"138",18,7,7.46177642087442
"139",19,7,15.3896512268303
"140",20,7,14.364828847406
"141",1,8,5.35602819471506
"142",2,8,5.3238886244852
"143",3,8,5.61871625242228
"144",4,8,6.57762323007814
"145",5,8,6.90233647581624
"146",6,8,5.42253598802054
"147",7,8,5.56630224567312
"148",8,8,0
"149",9,8,8.48510620057179
"150",10,8,6.60414296078384
"151",11,8,7.70207102558124
"152",12,8,9.67780277320062
"153",13,8,10.247727998174
"154",14,8,10.0222306738656
"155",15,8,6.76829039525226
"156",16,8,10.8560712802355
"157",17,8,8.40957135033451
