"","row","col","value"
"1",1,1,0
"2",2,1,3.71660741981645
"3",3,1,2.54028770424017
"4",4,1,2.80598495406212
"5",5,1,3.71298338455015
"6",6,1,2.28330980776897
"7",7,1,3.27484158102434
"8",8,1,2.00690032943975
"9",9,1,4.57627315557585
"10",10,1,3.73116549770476
"11",11,1,7.14636081424723
"12",12,1,15.4006209653775
"13",13,1,9.77749022739329
"14",14,1,19.0416014341081
"15",15,1,20.4206422465431
"16",16,1,13.7990066827184
"17",17,1,9.37381346988461
"18",18,1,11.3421346238726
"19",19,1,11.8010918389876
"20",20,1,19.8303959111654
"21",1,2,3.71660741981645
"22",2,2,0
"23",3,2,3.68657325206247
"24",4,2,3.41940698151411
"25",5,2,5.2051789513122
"26",6,2,3.54869050094407
"27",7,2,3.63080023875946
"28",8,2,3.63032783435772
"29",9,2,5.12037283505238
"30",10,2,4.23116065560673
"31",11,2,7.9228687865665
"32",12,2,15.4436637353283
"33",13,2,9.7794034837286
"34",14,2,19.1999058762354
"35",15,2,20.5120265585527
"36",16,2,14.0588783901316
"37",17,2,9.57104142697436
"38",18,2,11.5602406760311
"39",19,2,12.0112044167096
"40",20,2,19.9722825138096
"41",1,3,2.54028770424017
"42",2,3,3.68657325206247
"43",3,3,0
"44",4,3,2.48376408383629
"45",5,3,4.21374298956045
"46",6,3,2.38812351275412
"47",7,3,2.75908700739013
"48",8,3,2.41844078437344
"49",9,3,4.82863899161632
"50",10,3,3.64645114390748
"51",11,3,7.68993935849061
"52",12,3,15.518260694853
"53",13,3,9.91904267341827
"54",14,3,19.437904693262
"55",15,3,20.8089668703544
"56",16,3,14.0483903988671
"57",17,3,9.59597696996672
"58",18,3,11.5982112542111
"59",19,3,11.959791911107
"60",20,3,20.1748028034962
"61",1,4,2.80598495406212
"62",2,4,3.41940698151411
"63",3,4,2.48376408383629
"64",4,4,0
"65",5,4,5.13110803952487
"66",6,4,2.48033519744727
"67",7,4,2.69224255803013
"68",8,4,2.46313512036626
"69",9,4,5.08725582240526
"70",10,4,4.07444693232029
"71",11,4,7.61904634816045
"72",12,4,15.6425910891082
"73",13,4,9.93635025815339
"74",14,4,19.3467113205098
"75",15,4,20.6580987980131
"76",16,4,13.966180577156
"77",17,4,9.58393182146424
"78",18,4,11.5688314100339
"79",19,4,11.9851204244205
"80",20,4,19.979888222321
