"","row","col","value"
"1",1,1,0
"2",2,1,4.88827974205618
"3",3,1,4.11992726102866
"4",4,1,3.40622526539672
"5",5,1,4.82995019316808
"6",6,1,3.99546616310408
"7",7,1,7.44636644988296
"8",8,1,5.16895573699959
"9",9,1,7.74496419238524
"10",10,1,3.46265605020458
"11",11,1,19.0684866761306
"12",12,1,14.9701772613832
"13",13,1,11.7440573736985
"14",14,1,8.9295820273478
"15",15,1,13.0676659052029
"16",16,1,9.45224391727743
"17",17,1,12.6018907352535
"18",18,1,9.07163246540431
"19",19,1,9.78197791191577
"20",20,1,10.532461941272
"21",1,2,4.88827974205618
"22",2,2,0
"23",3,2,3.72089881592662
"24",4,2,4.04528748826463
"25",5,2,4.43395739765004
"26",6,2,4.50085993097986
"27",7,2,5.03512686986491
"28",8,2,4.31457524066439
"29",9,2,4.67614555984033
"30",10,2,3.70737899845284
"31",11,2,20.5070324915432
"32",12,2,15.9498676338812
"33",13,2,12.5418447405335
"34",14,2,9.70637298734136
"35",15,2,13.6161257726639
"36",16,2,9.9437726939048
"37",17,2,13.3741072507525
"38",18,2,9.87522444566248
"39",19,2,10.4906335369067
"40",20,2,11.2122249650659
"41",1,3,4.11992726102866
"42",2,3,3.72089881592662
"43",3,3,0
"44",4,3,3.64286803747819
"45",5,3,4.3872384371308
"46",6,3,4.38616710251906
"47",7,3,5.47301559591172
"48",8,3,4.25564884209098
"49",9,3,6.34437823121596
"50",10,3,3.14932706344053
"51",11,3,20.1596976299815
"52",12,3,15.87266381662
"53",13,3,12.5151969707945
"54",14,3,9.70982455120148
"55",15,3,13.7372745283791
"56",16,3,10.0773431302662
"57",17,3,13.4052931453325
"58",18,3,9.75486150798024
"59",19,3,10.5547398239415
"60",20,3,11.2894814553832
"61",1,4,3.40622526539672
"62",2,4,4.04528748826463
"63",3,4,3.64286803747819
"64",4,4,0
"65",5,4,4.64912231146146
"66",6,4,4.17369119715514
"67",7,4,6.7290517012778
"68",8,4,3.73708861891426
"69",9,4,6.8464207715715
"70",10,4,3.25784363264225
"71",11,4,19.3743938517991
"72",12,4,14.8060159817906
"73",13,4,11.5693549621082
"74",14,4,8.5345059068836
"75",15,4,12.7307828306339
"76",16,4,8.91329354667502
"77",17,4,12.4309689736502
"78",18,4,8.57860225798055
"79",19,4,9.36500183655911
"80",20,4,10.0778122027834
"81",1,5,4.82995019316808
"82",2,5,4.43395739765004
"83",3,5,4.3872384371308
"84",4,5,4.64912231146146
"85",5,5,0
"86",6,5,4.7608994739914
"87",7,5,5.39997877923417
"88",8,5,5.95062699909638
"89",9,5,7.28822032051575
"90",10,5,3.92722321378423
"91",11,5,19.5858093560779
"92",12,5,14.9742730439039
"93",13,5,12.0104409884284
"94",14,5,9.69850780260881
"95",15,5,12.8955356986752
"96",16,5,9.87698172907005
"97",17,5,12.7264455018642
"98",18,5,9.83975806430487
"99",19,5,10.0974113239631
"100",20,5,10.5878074051679
"101",1,6,3.99546616310408
"102",2,6,4.50085993097986
"103",3,6,4.38616710251906
"104",4,6,4.17369119715514
"105",5,6,4.7608994739914
"106",6,6,0
"107",7,6,6.4160355207488
"108",8,6,5.50330726646184
"109",9,6,6.64905592251741
"110",10,6,3.67937587103483
"111",11,6,20.0612823988357
"112",12,6,15.9621579991713
"113",13,6,12.3189194645415
"114",14,6,10.1137579168967
"115",15,6,13.6290055445477
"116",16,6,10.3452057151423
"117",17,6,13.4213288338076
"118",18,6,10.2277216845302
"119",19,6,10.5458187283139
"120",20,6,11.3978998133769
"121",1,7,7.44636644988296
"122",2,7,5.03512686986491
"123",3,7,5.47301559591172
"124",4,7,6.7290517012778
"125",5,7,5.39997877923417
"126",6,7,6.4160355207488
"127",7,7,0
"128",8,7,6.79915072045539
"129",9,7,5.94740339048608
"130",10,7,5.46579730680904
"131",11,7,22.1597313100166
"132",12,7,17.8732151112158
"133",13,7,14.6430700635908
"134",14,7,12.4865871609355
"135",15,7,15.4567310887524
"136",16,7,12.5310499970101
"137",17,7,15.451340851623
"138",18,7,12.6176810811729
"139",19,7,12.9370876861817
"140",20,7,13.3207715824185
"141",1,8,5.16895573699959
"142",2,8,4.31457524066439
"143",3,8,4.25564884209098
"144",4,8,3.73708861891426
"145",5,8,5.95062699909638
"146",6,8,5.50330726646184
