"","Taxa","GenePair","sum","total_n"
"1","A_Arizona_06_2017","NS-PB1",6,3
"2","A_Arizona_06_2017","PA-PB1",6,3
"3","A_Arkansas_18_2017","HA-NS",6,8
"4","A_Arkansas_18_2017","M-NS",6,6
"5","A_Arkansas_18_2017","NS-PA",6,3
"6","A_Arkansas_18_2017","NS-PB1",6,3
"7","A_Arkansas_18_2017","NS-PB2",6,3
"8","A_Basel_USB002594_1_2017","NS-PB1",6,3
"9","A_Basel_USB002594_1_2017","PA-PB1",6,3
"10","A_Basel_USB002722_1_2017","NS-PB1",6,3
"11","A_Basel_USB002722_1_2017","PA-PB1",6,3
"12","A_Basel_USB002995_1_2017","HA-PB2",6,5
"13","A_Basel_USB002995_1_2017","NA-PA",6,8
"14","A_Basel_USB002995_1_2017","NA-PB1",6,5
"15","A_Basel_USB002995_1_2017","PB1-PB2",6,3
"16","A_Basel_USB003034_1_2017","HA-PB1",6,3
"17","A_Basel_USB003034_1_2017","M-PB1",6,3
"18","A_Basel_USB003034_1_2017","NA-PB1",6,7
"19","A_Basel_USB003034_1_2017","NS-PB1",6,3
"20","A_Basel_USB003034_1_2017","PA-PB1",6,3
"21","A_Basel_USB003034_1_2017","PB1-PB2",6,3
"22","A_Basel_USB003307_1_2017","NS-PB1",6,3
"23","A_Basel_USB003307_1_2017","PA-PB1",6,3
"24","A_Basel_USB003348_1_2016","M-NS",6,3
"25","A_Basel_USB003348_1_2016","NS-PA",6,3
"26","A_Basel_USB003348_1_2016","NS-PB1",6,3
"27","A_Basel_USB003348_1_2016","NS-PB2",6,3
"28","A_Basel_USB003451_1_2017","NS-PB1",6,3
"29","A_Basel_USB003451_1_2017","PA-PB1",6,3
"30","A_Basel_USB003507_1_2017","HA-PB1",6,3
"31","A_Basel_USB003507_1_2017","M-PB1",6,3
"32","A_Basel_USB003507_1_2017","NA-PB1",6,7
"33","A_Basel_USB003507_1_2017","NS-PB1",6,3
"34","A_Basel_USB003507_1_2017","PA-PB1",6,3
"35","A_Basel_USB003507_1_2017","PB1-PB2",6,3
"36","A_Bethesda_NIH12_2011","HA-NP",6,3
"37","A_Bethesda_NIH12_2011","M-PA",6,3
"38","A_Bethesda_NIH12_2011","M-PB2",6,3
"39","A_Bethesda_NIH12_2011","NA-NP",6,3
"40","A_Bethesda_NIH12_2011","NA-PB1",6,3
"41","A_Bethesda_NIH12_2011","NP-PB2",6,3
"42","A_Bethesda_NIH12_2011","PB1-PB2",6,3
"43","A_California_129_2016","NA-NS",6,3
"44","A_California_129_2016","NS-PB2",6,3
"45","A_California_187_2016","HA-M",6,5
"46","A_California_187_2016","NA-PB1",6,3
"47","A_California_187_2016","PB1-PB2",6,6
"48","A_California_18_2014","HA-M",6,3
"49","A_California_18_2014","HA-NA",6,3
"50","A_California_18_2014","HA-NP",6,3
"51","A_California_18_2014","HA-NS",6,3
"52","A_California_18_2014","HA-PB1",6,3
"53","A_California_18_2014","HA-PB2",6,3
"54","A_California_18_2014","M-PA",6,3
"55","A_California_18_2014","M-PB2",6,5
"56","A_California_18_2014","NA-PA",6,6
"57","A_California_18_2014","NA-PB2",6,3
"58","A_California_18_2014","NP-PA",6,6
"59","A_California_18_2014","NP-PB2",6,6
"60","A_California_18_2014","NS-PA",6,3
"61","A_California_18_2014","NS-PB2",6,8
"62","A_California_18_2014","PA-PB1",6,3
"63","A_California_18_2014","PA-PB2",6,3
"64","A_California_18_2014","PB1-PB2",6,6
"65","A_California_19_2014","HA-PB2",6,9
"66","A_California_19_2014","NA-PB2",6,11
"67","A_California_19_2014","NP-PB2",6,9
"68","A_California_19_2014","NS-PB2",6,6
"69","A_California_19_2014","PA-PB2",6,12
"70","A_California_19_2014","PB1-PB2",6,6
"71","A_California_20_2015","HA-M",6,3
"72","A_California_20_2015","HA-NA",6,3
"73","A_California_20_2015","HA-PB1",6,3
"74","A_California_20_2015","HA-PB2",6,3
"75","A_California_20_2015","M-NP",6,5
"76","A_California_20_2015","M-NS",6,3
"77","A_California_20_2015","M-PA",6,3
"78","A_California_20_2015","M-PB1",6,3
"79","A_California_20_2015","NA-NP",6,6
"80","A_California_20_2015","NA-PA",6,3
"81","A_California_20_2015","NA-PB1",6,3
"82","A_California_20_2015","NP-PB2",6,6
"83","A_California_20_2015","NS-PB1",6,3
"84","A_California_20_2015","NS-PB2",6,3
"85","A_California_20_2015","PA-PB2",6,3
"86","A_California_20_2015","PB1-PB2",6,3
"87","A_California_214_2016","M-PB1",6,3
"88","A_California_NHRC0006_2003","HA-PA",6,3
"89","A_California_NHRC0006_2003","PA-PB1",6,3
"90","A_China_38887_2012","NP-PA",6,3
"91","A_China_38887_2012","NP-PB2",6,3
"92","A_China_60736_2014","HA-NA",6,5
"93","A_China_61007_2014","HA-M",6,4
"94","A_China_61007_2014","HA-NA",6,6
"95","A_China_61007_2014","HA-NP",6,5
"96","A_China_61007_2014","HA-PA",6,3
"97","A_China_61007_2014","HA-PB1",6,5
"98","A_China_61007_2014","HA-PB2",6,6
"99","A_China_61391_2014","HA-M",6,6
"100","A_China_61391_2014","HA-NA",6,3
"101","A_China_61391_2014","HA-NP",6,3
"102","A_China_61391_2014","HA-PA",6,3
"103","A_China_61391_2014","HA-PB1",6,4
"104","A_China_61391_2014","HA-PB2",6,3
"105","A_China_70219_2015","HA-PA",6,3
"106","A_China_80241_2016","NA-NP",6,3
"107","A_China_81891_2017","NA-NP",6,3
"108","A_Chungbuk_107_2016","NA-NP",6,9
"109","A_Chungbuk_107_2016","NA-NS",6,3
"110","A_Chungbuk_107_2016","NA-PA",6,11
"111","A_Chungbuk_107_2016","NA-PB1",6,12
"112","A_Chungbuk_107_2016","NA-PB2",6,13
"113","A_Chungbuk_107_2016","NP-PA",6,5
"114","A_Chungbuk_107_2016","NP-PB1",6,3
"115","A_Chungbuk_107_2016","NP-PB2",6,6
"116","A_Delaware_19_2017","HA-NP",6,3
"117","A_Delaware_19_2017","HA-PA",6,3
"118","A_Delaware_19_2017","HA-PB1",6,3
"119","A_Delaware_19_2017","HA-PB2",6,3
"120","A_Delaware_19_2017","M-NA",6,4
"121","A_Delaware_19_2017","M-PA",6,3
"122","A_Delaware_19_2017","M-PB2",6,3
"123","A_Delaware_19_2017","NA-NP",6,4
"124","A_Delaware_19_2017","NA-NS",6,3
"125","A_Delaware_19_2017","NA-PA",6,4
"126","A_Delaware_19_2017","NA-PB1",6,3
"127","A_Delaware_19_2017","NA-PB2",6,5
"128","A_District_of_Columbia_WRAIR0300_2010","M-PB1",6,3
"129","A_District_of_Columbia_WRAIR0300_2010","M-PB2",6,3
"130","A_District_of_Columbia_WRAIR0300_2010","NP-NS",6,3
"131","A_England_425_2003","M-NA",6,8
"132","A_England_425_2003","M-PA",6,12
"133","A_England_425_2003","NA-NP",6,5
"134","A_England_425_2003","NA-PB1",6,3
"135","A_England_425_2003","NA-PB2",6,6
"136","A_England_425_2003","PA-PB1",6,6
"137","A_England_425_2003","PA-PB2",6,6
"138","A_England_438_2003","HA-NA",6,5
"139","A_England_438_2003","HA-NS",6,3
"140","A_England_438_2003","HA-PA",6,6
"141","A_England_438_2003","HA-PB2",6,3
"142","A_England_438_2003","M-NA",6,3
"143","A_England_438_2003","M-PA",6,3
"144","A_England_438_2003","NA-NP",6,3
"145","A_England_438_2003","NA-PB1",6,3
"146","A_England_438_2003","NA-PB2",6,3
"147","A_England_438_2003","NP-PA",6,3
"148","A_England_438_2003","PA-PB1",6,3
"149","A_England_438_2003","PA-PB2",6,3
"150","A_England_467_2003","HA-NA",6,6
"151","A_England_467_2003","HA-PA",6,3
"152","A_England_467_2003","M-NA",6,3
"153","A_England_467_2003","M-PA",6,3
"154","A_England_467_2003","NA-NP",6,6
"155","A_England_467_2003","NA-PB1",6,6
"156","A_England_467_2003","NA-PB2",6,6
"157","A_England_467_2003","NP-PA",6,3
"158","A_England_467_2003","PA-PB1",6,3
"159","A_England_467_2003","PA-PB2",6,3
"160","A_England_470_2003","HA-NA",6,3
"161","A_England_470_2003","M-PA",6,12
"162","A_England_470_2003","NA-NP",6,3
"163","A_England_470_2003","NA-PA",6,3
"164","A_England_470_2003","NA-PB1",6,3
"165","A_England_470_2003","NA-PB2",6,3
"166","A_England_470_2003","PA-PB1",6,12
"167","A_England_470_2003","PA-PB2",6,6
"168","A_England_487_2003","HA-NA",6,6
"169","A_England_487_2003","HA-PA",6,9
"170","A_England_487_2003","M-PA",6,9
