ID,Strain,GenePair
1,A/Arizona/06/2017,NS-PB1
2,A/Arizona/06/2017,PA-PB1
3,A/Arkansas/18/2017,HA-NS
4,A/Arkansas/18/2017,M-NS
5,A/Arkansas/18/2017,NS-PA
6,A/Arkansas/18/2017,NS-PB1
7,A/Arkansas/18/2017,NS-PB2
8,A/Basel/USB002594/1/2017,NS-PB1
9,A/Basel/USB002594/1/2017,PA-PB1
10,A/Basel/USB002722/1/2017,NS-PB1
11,A/Basel/USB002722/1/2017,PA-PB1
12,A/Basel/USB002995/1/2017,HA-PB2
13,A/Basel/USB002995/1/2017,NA-PA
14,A/Basel/USB002995/1/2017,NA-PB1
15,A/Basel/USB002995/1/2017,PB1-PB2
16,A/Basel/USB003034/1/2017,HA-PB1
17,A/Basel/USB003034/1/2017,M-PB1
18,A/Basel/USB003034/1/2017,NA-PB1
19,A/Basel/USB003034/1/2017,NS-PB1
20,A/Basel/USB003034/1/2017,PA-PB1
21,A/Basel/USB003034/1/2017,PB1-PB2
22,A/Basel/USB003307/1/2017,NS-PB1
23,A/Basel/USB003307/1/2017,PA-PB1
24,A/Basel/USB003348/1/2016,M-NS
25,A/Basel/USB003348/1/2016,NS-PA
26,A/Basel/USB003348/1/2016,NS-PB1
27,A/Basel/USB003348/1/2016,NS-PB2
28,A/Basel/USB003451/1/2017,NS-PB1
29,A/Basel/USB003451/1/2017,PA-PB1
30,A/Basel/USB003507/1/2017,HA-PB1
31,A/Basel/USB003507/1/2017,M-PB1
32,A/Basel/USB003507/1/2017,NA-PB1
33,A/Basel/USB003507/1/2017,NS-PB1
34,A/Basel/USB003507/1/2017,PA-PB1
35,A/Basel/USB003507/1/2017,PB1-PB2
36,A/Bethesda/NIH12/2011,HA-NP
37,A/Bethesda/NIH12/2011,M-PA
38,A/Bethesda/NIH12/2011,M-PB2
39,A/Bethesda/NIH12/2011,NA-NP
40,A/Bethesda/NIH12/2011,NA-PB1
41,A/Bethesda/NIH12/2011,NP-PB2
42,A/Bethesda/NIH12/2011,PB1-PB2
43,A/California/129/2016,NA-NS
44,A/California/129/2016,NS-PB2
45,A/California/187/2016,HA-M
46,A/California/187/2016,NA-PB1
47,A/California/187/2016,PB1-PB2
48,A/California/18/2014,HA-M
49,A/California/18/2014,HA-NA
50,A/California/18/2014,HA-NP
51,A/California/18/2014,HA-NS
52,A/California/18/2014,HA-PB1
53,A/California/18/2014,HA-PB2
54,A/California/18/2014,M-PA
55,A/California/18/2014,M-PB2
56,A/California/18/2014,NA-PA
57,A/California/18/2014,NA-PB2
58,A/California/18/2014,NP-PA
59,A/California/18/2014,NP-PB2
60,A/California/18/2014,NS-PA
61,A/California/18/2014,NS-PB2
62,A/California/18/2014,PA-PB1
63,A/California/18/2014,PA-PB2
64,A/California/18/2014,PB1-PB2
65,A/California/19/2014,HA-PB2
66,A/California/19/2014,NA-PB2
67,A/California/19/2014,NP-PB2
68,A/California/19/2014,NS-PB2
69,A/California/19/2014,PA-PB2
70,A/California/19/2014,PB1-PB2
71,A/California/20/2015,HA-M
72,A/California/20/2015,HA-NA
73,A/California/20/2015,HA-PB1
74,A/California/20/2015,HA-PB2
75,A/California/20/2015,M-NP
76,A/California/20/2015,M-NS
77,A/California/20/2015,M-PA
78,A/California/20/2015,M-PB1
79,A/California/20/2015,NA-NP
80,A/California/20/2015,NA-PA
81,A/California/20/2015,NA-PB1
82,A/California/20/2015,NP-PB2
83,A/California/20/2015,NS-PB1
84,A/California/20/2015,NS-PB2
