name,name_fasta,HA_segID,Subtype,original_clade,Clade_group,Domestic_Status,zoonotic_case,date,set,RBS_23full,RBS_26full,ENZ_23SLN,ENZ_26SLN,SBS_23SLN,SBS_26SLN,stalk,stalk_scale,zoonotic_scale,X88,X98,X110,X156,X284,X298,mean_rmsdRBS23,PB2_627,PB2_631,PA_497,HA_147,PB2_627_bin,PB2_631_cat,PA_497_bin,HA_147_bin,Zoo_bin,Bal23,Bal26,stalk_bin,stalk_cat,Host_cat,Bal23_cat5,Bal26_cat5,mLTDC
H5|A/chicken/Fujian/10_23_FZHX0106-O/2018|EPI1820983|2018-10-23,H5|A/chicken/Fujian/10_23_FZHX0106-O/2018|EPI1820983|2018-10-23,EPI1820983,H5,2.3.4.4h,H5N2_2.3.4.4x,Domestic,non-zoonotic,2018.10.23,avian,-38.12942716,-37.30599917,-36.58859872,-30.60763385,-17.60033771,-27.7945794,long,0.5,-0.5,1.723445323,1.691751433,1.266278205,2.133929115,1.705737537,1.582838531,4.436713147,E,M,K,V,0,0,0,0,0,0.521056128,0.609423116,1,0,0,0,0,1
H5N1|A_Canada_goose_Denmark_07348-1_02_2022|EPI2930921|2022-09-12,H5N1|A_Canada_goose_Denmark_07348-1_02_2022|EPI2930921|2022-09-12,EPI2930921,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2022.9.12,avian,-40.33876564,-40.2256583,-34.11642,-23.67271,-42.23173,-40.60053,long,0.5,-0.5,2.743442942,2.228075862,1.161715607,1.940535785,1.678068582,1.815050229,3.675924303,E,M,K,V,0,0,0,0,0,0.591192828,0.849620899,1,2,1,1,1,2
H5N1|A/American_Crow/BC/AIVPHL-1469/2023|EPI2856582|2023-12-01,H5N1|A/American_Crow/BC/AIVPHL-1469/2023|EPI2856582|2023-12-01,EPI2856582,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2023.12.1,avian,-40.19015366,-40.10721097,-34.12218,-23.67828,-42.17092,-40.49318,long,0.5,-0.5,2.394065699,1.320591531,1.118216892,1.75238589,1.278813976,1.42801793,5.452665339,E,M,K,V,0,0,0,0,0,0.588915387,0.846919856,1,2,1,1,1,2
H5N1|A/American_Crow/BC/AIVPHL-921/2023|EPI2855933|2023-01-30,H5N1|A/American_Crow/BC/AIVPHL-921/2023|EPI2855933|2023-01-30,EPI2855933,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2023.1.30,avian,-40.14147578,-39.97000296,-33.98074,-23.58521,-41.92369,-40.30658,long,0.5,-0.5,2.856832086,1.333359766,1.041132466,1.705832299,1.597138106,1.65964294,5.801306773,E,M,K,V,0,0,0,0,0,0.590650406,0.847353129,1,2,1,1,1,1
H5N1|A/American_Crow/ON/FAV-0149-1/2023|EPI3316487|2023-03-24,H5N1|A/American_Crow/ON/FAV-0149-1/2023|EPI3316487|2023-03-24,EPI3316487,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2023.3.24,avian,-40.3334051,-40.14233464,-34.10029,-23.59399,-42.14642,-40.478,long,0.5,-0.5,2.772528529,1.478389808,1.035295455,1.986383657,1.335370652,1.502752059,4.367039841,E,M,K,V,0,0,0,0,0,0.591393872,0.850689829,1,2,1,1,1,3
H5N1|A/American_Crow/PEI/FAV-0019-3/2022|EPI2513064|2022-12-28,H5N1|A/American_Crow/PEI/FAV-0019-3/2022|EPI2513064|2022-12-28,EPI2513064,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2022.12.28,avian,-40.3016367,-40.19700485,-34.10029,-23.59399,-42.14642,-40.478,long,0.5,-0.5,1.943052543,1.318322589,1.001407984,1.652186454,1.256324993,1.374014248,4.653908367,E,M,K,V,0,0,0,0,0,0.590928064,0.851848391,1,2,1,1,1,3
H5N1|A/Anas_platyrhynchos/Belgium/12522_0002/2022|EPI2842819|2022-10-05,H5N1|A/Anas_platyrhynchos/Belgium/12522_0002/2022|EPI2842819|2022-10-05,EPI2842819,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2022.10.5,avian,-40.22000834,-40.06888984,-34.47593,-23.96479,-41.63054,-39.61203,long,0.5,-0.5,2.412912343,1.158433975,1.083010317,1.546440509,1.114676791,1.29890944,4.499685259,E,M,K,V,0,0,0,0,0,0.583305633,0.835995013,1,2,1,1,0,2
H5N1|A/Anhui/1/2006|EPI280032|2006-12-10,H5N1|A/Anhui/1/2006|EPI280032|2006-12-10,EPI280032,H5N1,2002.3.4,2002.3.4,Human,zoonotic,2006.12.10,avian,-37.86364188,-43.03199828,-31.66571,-22.56708,-38.50719,-33.43563,short,-0.5,0.5,1.744752274,2.113582899,1.55711611,2.492620701,2.330445892,2.412221925,3.402976096,E,M,K,V,0,0,0,0,1,1.195730078,1.906848306,0,0,4,3,3,4
H5N1|A/Anhui/2/2005|EPI164240|2005-11-17,H5N1|A/Anhui/2/2005|EPI164240|2005-11-17,EPI164240,H5N1,2002.3.4,2002.3.4,Human,zoonotic,2005.11.17,avian,-22.44268735,-19.5088893,-31.20019,-22.10253,-37.44957,-32.25163,short,-0.5,0.5,1.742864331,1.750346883,1.612773856,1.801896634,1.375150384,1.488098044,5.01798008,E,M,K,V,0,0,0,0,1,0.719312522,0.882654126,0,0,4,2,2,4
H5N1|A/Antarctic_Fur_Seal/Jason_Harbour/141037/2023|EPI2900060|2023-12-09,H5N1|A/Antarctic_Fur_Seal/Jason_Harbour/141037/2023|EPI2900060|2023-12-09,EPI2900060,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Marine,zoonotic,2023.12.9,avian,-38.74123521,-44.39016461,-34.11383,-23.66942,-28.8016,-33.23461,long,0.5,0.5,2.614527006,1.08583681,1.017115411,1.808555232,1.054147871,1.207645817,4.308191235,E,M,K,V,0,0,0,0,1,0.567823009,0.937711288,1,2,3,0,2,4
