"tree.nr" "N" "S" "vaccineStrain" "compareStrain" "N2" "S2"
"1" 1 11 8 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY113020_A_Netherlands_377_2008_NA_NA_NA_NA" 9 6
"2" 1 10 8 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY173286_A_New_York_1155_2008_NA_NA_NA" 8 6
"3" 1 12 8 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY044827_A_Boston_88_2008_NA_NA_NA_NA" 10 6
"4" 1 8 7 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY025428_A_California_UR06_0347_2007_NA_NA_NA" 6 5
"5" 1 10 7 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY027570_A_Texas_UR06_0358_2007_NA_NA_NA" 8 5
"6" 1 11 10 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY037310_A_Qatar_AF02_2008_NA_NA_NA_NA" 9 8
"7" 1 10 8 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY037326_A_Korea_AF05_2008_NA_NA_NA_NA" 8 6
"8" 1 7 4 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY039406_A_Taiwan_70002_2007_NA_NA_NA_NA" 5 2
"9" 1 6 3 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY039414_A_Taiwan_70113_2007_NA_NA_NA_NA" 4 1
"10" 1 7 3 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY040057_A_Taiwan_70307_2007_NA_NA_NA_NA" 5 1
"11" 1 9 7 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY040073_A_Taiwan_2361_2007_NA_NA_NA_NA" 7 5
"12" 1 8 10 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY040105_A_Taiwan_70120_2008_NA_NA_NA_NA" 6 8
"13" 1 10 10 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY044603_A_Boston_40_2008_NA_NA_NA_NA" 8 8
"14" 1 7 9 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY114404_A_Netherlands_363_2006_NA_NA_NA_NA" 5 7
"15" 1 10 11 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY114412_A_Netherlands_69_2007_NA_NA_NA_NA" 8 9
"16" 1 9 14 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY114420_A_Netherlands_348_2007_NA_NA_NA_NA" 7 12
"17" 1 9 8 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "EPI577980_A_Brisbane_10_2007_NA_NA_NA_NA" 7 6
"18" 2 9 8 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY113020_A_Netherlands_377_2008_NA_NA_NA_NA" 7 6
"19" 2 10 8 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY173286_A_New_York_1155_2008_NA_NA_NA" 8 6
"20" 2 10 8 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY044827_A_Boston_88_2008_NA_NA_NA_NA" 8 6
"21" 2 8 7 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY025428_A_California_UR06_0347_2007_NA_NA_NA" 6 5
"22" 2 10 7 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY027570_A_Texas_UR06_0358_2007_NA_NA_NA" 8 5
"23" 2 11 10 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY037310_A_Qatar_AF02_2008_NA_NA_NA_NA" 9 8
"24" 2 10 8 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY037326_A_Korea_AF05_2008_NA_NA_NA_NA" 8 6
"25" 2 7 4 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY039406_A_Taiwan_70002_2007_NA_NA_NA_NA" 5 2
"26" 2 6 3 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY039414_A_Taiwan_70113_2007_NA_NA_NA_NA" 4 1
"27" 2 7 3 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY040057_A_Taiwan_70307_2007_NA_NA_NA_NA" 5 1
"28" 2 9 7 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY040073_A_Taiwan_2361_2007_NA_NA_NA_NA" 7 5
"29" 2 8 10 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY040105_A_Taiwan_70120_2008_NA_NA_NA_NA" 6 8
"30" 2 10 10 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY044603_A_Boston_40_2008_NA_NA_NA_NA" 8 8
"31" 2 7 9 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY114404_A_Netherlands_363_2006_NA_NA_NA_NA" 5 7
"32" 2 10 11 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY114412_A_Netherlands_69_2007_NA_NA_NA_NA" 8 9
"33" 2 9 12 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY114420_A_Netherlands_348_2007_NA_NA_NA_NA" 7 10
"34" 2 9 8 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "EPI577980_A_Brisbane_10_2007_NA_NA_NA_NA" 7 6
"35" 3 9 10 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY113020_A_Netherlands_377_2008_NA_NA_NA_NA" 7 8
"36" 3 10 10 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY173286_A_New_York_1155_2008_NA_NA_NA" 8 8
"37" 3 10 10 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY044827_A_Boston_88_2008_NA_NA_NA_NA" 8 8
"38" 3 8 9 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY025428_A_California_UR06_0347_2007_NA_NA_NA" 6 7
"39" 3 10 9 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY027570_A_Texas_UR06_0358_2007_NA_NA_NA" 8 7
"40" 3 11 12 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY037310_A_Qatar_AF02_2008_NA_NA_NA_NA" 9 10
"41" 3 10 10 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY037326_A_Korea_AF05_2008_NA_NA_NA_NA" 8 8
"42" 3 7 4 "EPI502253_A_Wisconsin_67_2005_NA_NA_NA_NA" "CY039406_A_Taiwan_70002_2007_NA_NA_NA_NA" 5 2
