"compareStrain","vaccineStrain","Gene","vaccine_code","Nmedian","Smedian"
"EPI367109_A_California_7_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",22,24
"CY006386_A_New_York_467_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",19,25
"CY039174_A_Hong_Kong_HKU24_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",16,25
"CY038646_A_Hong_Kong_HKU31_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",20,21
"CY039030_A_Hong_Kong_HKU25_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",21,22
"CY039502_A_Hong_Kong_HKU32_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",20,21
"CY040321_A_Hong_Kong_HKU38_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",20,22
"CY038654_A_Hong_Kong_HKU34_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",21,20
"CY039038_A_Hong_Kong_HKU30_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",21,23
"CY038638_A_Hong_Kong_HKU29_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",19,23
"CY043751_A_Hong_Kong_HKU28_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",19,23
"CY038990_A_Hong_Kong_HKU14_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",17,22
"CY039494_A_Hong_Kong_HKU1_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",17,22
"CY038958_A_Hong_Kong_HKU6_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",17,24
"CY038998_A_Hong_Kong_HKU15_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",17,24
"CY038622_A_Hong_Kong_HKU20_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",19,20
"CY039014_A_Hong_Kong_HKU21_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",19,22
"CY038614_A_Hong_Kong_HKU19_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",19,22
"CY038950_A_Hong_Kong_HKU4_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",21,18
"KJ855376_A_Mexico_DIF835_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",14,22
"CY107111_A_England_516_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",17,20
"CY088403_A_England_547_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",16,22
