"StrainName","vaccine_code","Year","Month","Day","Dom","PB2_Nonsyn","PB1_Nonsyn","PA_Nonsyn","HA_Nonsyn","NP_Nonsyn","NA_Nonsyn","M_Nonsyn","NS_Nonsyn","PB2_Syn","PB1_Syn","PA_Syn","HA_Syn","NP_Syn","NA_Syn","M_Syn","NS_Syn"
"CY003287_A_New_York_438_2000","Mos99",2000,1,18,0,1,1,1,3,2,0,2,4,15,4,7,2,4,1,8,3
"CY114324_A_Netherlands_3_2000","Mos99",2000,1,6,0,2,1,1,4,1,0,1,0,14,10,4,3,0,1,8,3
"CY114340_A_Netherlands_126_2001","Mos99",2001,3,21,0,3,2,3,4,4,6,3,5,4,14,11,4,16,3,9,9
"CY002335_A_New_York_77_2001","Mos99",2001,12,26,0,2,3,6,5,5,9,1,4,31,24,17,12,21,22,9,9
"CY000216_A_New_York_91_2002","Mos99",2002,1,17,0,2,3,6,5,5,9,1,4,25,25,17,11,24,22,10,11
"CY112948_A_Netherlands_1_2002","Mos99",2002,1,7,0,4,4,7,6,6,6,1,5,33,21,18,9,22,17,9,7
"CY000552_A_New_York_115_2002","Mos99",2002,2,7,0,2,3,6,6,5,9,1,4,28,23,17,10,23,21,10,8
"CY013812_A_New_York_C4_2002","Mos99",2002,2,1,0,3,3,7,6,5,10,1,5,28,25,17,10,25,22,9,8
"EPI358781_A_Fujian_411_2002","Mos99",2002,7,1,0,3,2,3,17,2,8,1,4,22,17,11,19,7,8,9,4
"CY000872_A_New_York_193_2003","Mos99",2003,2,19,0,3,5,4,11,4,8,4,7,29,24,24,16,25,17,11,12
"CY032968_A_Yucatan_844_2003","Mos99",2003,3,19,0,2,2,2,12,2,8,1,0,23,16,12,21,12,10,10,5
"CY001559_A_New_York_215_2003","Mos99",2003,4,22,0,4,3,8,8,5,9,3,7,39,33,22,11,25,23,10,13
"KJ855376_A_Mexico_DIF835_2003","Mos99",2003,7,4,0,3,3,3,14,2,8,2,0,27,19,15,22,9,12,11,4
"CY088027_A_England_425_2003","Mos99",2003,10,29,0,7,3,9,16,6,9,4,6,38,33,22,24,26,26,13,7
"CY000352_A_New_York_15_2003","Mos99",2003,11,12,0,4,3,9,17,6,9,3,6,38,34,30,19,24,19,14,9
"CY000908_A_New_York_13_2003","Mos99",2003,11,12,0,5,3,6,14,6,9,3,5,39,31,26,26,25,22,11,7
"CY002351_A_New_York_272_2003","Mos99",2003,11,28,0,3,3,6,16,6,9,3,5,39,32,26,25,25,22,12,7
"CY088035_A_England_438_2003","Mos99",2003,11,12,0,3,3,7,16,6,8,1,5,37,30,28,20,24,22,12,8
"CY088115_A_England_467_2003","Mos99",2003,11,6,0,4,3,7,18,5,9,4,6,38,34,27,21,25,23,12,7
"CY088131_A_Scotland_78_2003","Mos99",2003,11,7,0,3,4,9,15,6,9,4,6,39,32,22,25,25,24,10,8
"CY088139_A_Scotland_79_2003","Mos99",2003,11,8,0,2,4,7,15,6,9,1,5,36,29,27,20,23,23,13,8
"CY088187_A_England_944_2003","Mos99",2003,11,17,0,4,3,9,16,6,9,4,6,37,33,22,23,27,26,13,7
"CY088251_A_England_525_2003","Mos99",2003,11,27,0,5,3,9,15,5,9,4,5,39,35,22,22,26,28,12,7
"CY088267_A_England_585_2003","Mos99",2003,11,25,0,5,3,7,16,5,9,3,6,25,31,30,25,25,22,12,8
"CY088275_A_England_487_2003","Mos99",2003,11,24,0,4,3,8,16,5,9,4,6,39,34,29,25,26,23,13,9
"CY088291_A_England_491_2003","Mos99",2003,11,24,0,4,3,7,16,5,9,4,6,37,35,28,23,26,22,13,8
"CY088323_A_England_508_2003","Mos99",2003,11,27,0,3,5,7,17,5,10,3,6,39,31,30,19,25,22,12,8
"CY088339_A_England_957_2003","Mos99",2003,11,28,0,4,3,8,15,6,9,4,6,37,37,29,23,28,24,13,7
"CY088379_A_England_532_2003","Mos99",2003,11,27,0,4,3,7,15,5,10,4,6,37,38,28,24,24,23,13,7
